subject	model	motion	con	eff_est
sub-119	CueMod	opt1	Lgain-Neut	1.3083226969995674
sub-119	CueMod	opt2	Lgain-Neut	1.0616501163227157
sub-119	CueMod	opt3	Lgain-Neut	0.9662275505104784
sub-119	CueMod	opt4	Lgain-Neut	0.9290438549631836
sub-119	FixMod	opt1	Lgain-Neut	0.7258453132107088
sub-119	FixMod	opt2	Lgain-Neut	0.621873131448667
sub-119	FixMod	opt3	Lgain-Neut	0.5633876852462705
sub-119	FixMod	opt4	Lgain-Neut	0.5475394608870212
sub-109	AntMod	opt1	Lgain-Neut	3.8219261789203527
sub-109	AntMod	opt2	Lgain-Neut	3.2126652407965155
sub-109	AntMod	opt3	Lgain-Neut	2.398240399147767
sub-109	AntMod	opt4	Lgain-Neut	2.3638965625299533
sub-109	CueMod	opt1	Lgain-Neut	1.3287347484265317
sub-109	CueMod	opt2	Lgain-Neut	1.1068890286005513
sub-109	CueMod	opt3	Lgain-Neut	0.8491515275668641
sub-109	CueMod	opt4	Lgain-Neut	0.8388878593033289
sub-109	FixMod	opt1	Lgain-Neut	0.7374974321094105
sub-109	FixMod	opt2	Lgain-Neut	0.6348282306071269
sub-109	FixMod	opt3	Lgain-Neut	0.4746059195667566
sub-109	FixMod	opt4	Lgain-Neut	0.4698220685887088
sub-118	AntMod	opt1	Lgain-Neut	3.790862361266325
sub-118	AntMod	opt2	Lgain-Neut	3.3155047204835464
sub-118	AntMod	opt3	Lgain-Neut	3.0983326809623284
sub-118	AntMod	opt4	Lgain-Neut	3.0411098406194625
sub-118	CueMod	opt1	Lgain-Neut	1.3199368793638824
sub-118	CueMod	opt2	Lgain-Neut	1.1609643857192613
sub-118	CueMod	opt3	Lgain-Neut	1.0936799053558288
sub-118	CueMod	opt4	Lgain-Neut	1.071469691044152
sub-118	FixMod	opt1	Lgain-Neut	0.7226908129252216
sub-118	FixMod	opt2	Lgain-Neut	0.6466945110458973
sub-118	FixMod	opt3	Lgain-Neut	0.6038848613603525
sub-118	FixMod	opt4	Lgain-Neut	0.5955977622048139
sub-167	AntMod	opt1	Lgain-Neut	3.731068729733093
sub-167	AntMod	opt2	Lgain-Neut	3.2891857828797564
sub-167	AntMod	opt3	Lgain-Neut	2.9181051797905626
sub-167	AntMod	opt4	Lgain-Neut	2.9181051797905626
sub-167	CueMod	opt1	Lgain-Neut	1.2793790935081493
sub-167	CueMod	opt2	Lgain-Neut	1.1300647415206249
sub-167	CueMod	opt3	Lgain-Neut	1.0115944807830841
sub-167	CueMod	opt4	Lgain-Neut	1.0115944807830841
sub-167	FixMod	opt1	Lgain-Neut	0.7304923642772116
sub-167	FixMod	opt2	Lgain-Neut	0.642155465033911
sub-167	FixMod	opt3	Lgain-Neut	0.563998095924372
sub-167	FixMod	opt4	Lgain-Neut	0.563998095924372
sub-24	AntMod	opt1	Lgain-Neut	3.453456147551517
sub-24	AntMod	opt2	Lgain-Neut	3.0132443218816767
sub-24	AntMod	opt3	Lgain-Neut	2.7912040768218036
sub-24	AntMod	opt4	Lgain-Neut	2.7893404881279444
sub-24	CueMod	opt1	Lgain-Neut	1.180358393953046
sub-24	CueMod	opt2	Lgain-Neut	1.0474600703915333
sub-24	CueMod	opt3	Lgain-Neut	0.9779388004746592
sub-24	CueMod	opt4	Lgain-Neut	0.9769430295901448
sub-24	FixMod	opt1	Lgain-Neut	0.6793769543524735
